-0.999719590128412+0.0236799720131301i
-0.999719590128412-0.0236799720131301i
-0.999719568209961+0.0236808973473088i
-0.999719568209961-0.0236808973473088i
-0.897217907267342+0.441588072092088i
-0.897217907267342-0.441588072092088i
-0.897386522614191+0.441245314499905i
-0.897386522614191-0.441245314499905i
-0.7341598574846+0.678976658308215i
-0.7341598574846-0.678976658308215i
-0.734251750733899+0.678877283028363i
-0.734251750733899-0.678877283028363i
-0.824384571868821+0.566030103141078i
-0.824384571868821-0.566030103141078i
-0.824175568500443+0.566334382043161i
-0.824175568500443-0.566334382043161i
-0.639208368383749+0.769033589504971i
-0.639208368383749-0.769033589504971i
-0.640532452721759+0.767931101733165i
-0.640532452721759-0.767931101733165i
-0.798534558401042+0.601948966934228i
-0.798534558401042-0.601948966934228i
-0.798533478789144+0.601950399125252i
-0.798533478789144-0.601950399125252i
-0.470841719271044+0.882217702725089i
-0.470841719271044-0.882217702725089i
-0.470841500461836+0.882217819504289i
-0.470841500461836-0.882217819504289i
0.00219958061700422+0.999997580919167i
0.00219958061700422-0.999997580919167i
-0.0679367036971763+0.997689632340042i
-0.0679367036971763-0.997689632340042i
-0.0683168735176635+0.997663672273007i
-0.0683168735176635-0.997663672273007i
0.296051144039992+0.955172087651858i
0.296051144039992-0.955172087651858i
0.719629568911974+0.694358179448971i
0.719629568911974-0.694358179448971i
0.5365715246427+0.843854842966726i
0.5365715246427-0.843854842966726i
0.848836699570428+0.528655137809994i
0.848836699570428-0.528655137809994i
0.686173411907959+0.727438001429744i
0.686173411907959-0.727438001429744i
0.929882418040779+0.367856882352334i
0.929882418040779-0.367856882352334i
0.727853763169064+0.68573238022199i
0.727853763169064-0.68573238022199i
0.728746065056403+0.684784033588349i
0.728746065056403-0.684784033588349i
0.728764534215401+0.684764378207948i
0.728764534215401-0.684764378207948i
0.342372173852507+0.939564417426087i
0.342372173852507-0.939564417426087i
0.342423045549738+0.939545878495688i
0.342423045549738-0.939545878495688i
0.781113137126356+0.624389515338291i
0.781113137126356-0.624389515338291i
0.781061476299941+0.62445413770436i
0.781061476299941-0.62445413770436i
0.994802041876227+0.101827771055959i
0.994802041876227-0.101827771055959i
0.503279791503418+0.864123515840698i
0.503279791503418-0.864123515840698i
0.503257340196046+0.86413659146139i
0.503257340196046-0.86413659146139i
0.902188046039133+0.431342936647201i
0.902188046039133-0.431342936647201i
0.902187020782134+0.431345081047807i
0.902187020782134-0.431345081047807i
0.393847509383016+0.919175791850607i
0.393847509383016-0.919175791850607i
0.99956934945949+0.0293447295847377i
0.99956934945949-0.0293447295847377i
0.397991182641455+0.917389240465316i
0.397991182641455-0.917389240465316i
0.398001441500417+0.917384789794061i
0.398001441500417-0.917384789794061i
0.999999976363756+0.000217426411274868i
0.999999976363756-0.000217426411274868i
0.999999920513581+0.000398712416840468i
0.999999920513581-0.000398712416840468i
