0.907137158290552+0.420835093599289i
0.907137158290552-0.420835093599289i
0.907265136466016+0.42055911844784i
0.907265136466016-0.42055911844784i
0.711255542197038+0.702933534280703i
0.711255542197038-0.702933534280703i
0.711094316846257+0.703096630963012i
0.711094316846257-0.703096630963012i
0.997368969382972+0.0724923349974719i
0.997368969382972-0.0724923349974719i
0.999508503244213+0.0313488512783589i
0.999508503244213-0.0313488512783589i
0.999918713289482+0.0127501554095533i
0.999918713289482-0.0127501554095533i
0.999999980101307+0.000201549905121533i
0.999999980101307-0.000201549905121533i
0.593853673089408+0.804573063497893i
0.593853673089408-0.804573063497893i
0.585371792561421+0.810764986695324i
0.585371792561421-0.810764986695324i
0.589432607390231+0.807817553975652i
0.589432607390231-0.807817553975652i
0.593549886354153+0.804797199272989i
0.593549886354153-0.804797199272989i
0.00273955361350717+0.999996247414385i
0.00273955361350717-0.999996247414385i
-0.051907931647782+0.998651874582958i
-0.051907931647782-0.998651874582958i
-0.0513913312197232+0.998678592466955i
-0.0513913312197232-0.998678592466955i
-0.731927074402667+0.68138297340172i
-0.731927074402667-0.68138297340172i
-0.643581069342802+0.765377949320271i
-0.643581069342802-0.765377949320271i
-0.157059419260242+0.987589154334378i
-0.157059419260242-0.987589154334378i
-0.775099302467017+0.631839433755192i
-0.775099302467017-0.631839433755192i
-0.772268341457999+0.635296471712278i
-0.772268341457999-0.635296471712278i
-0.177316917351269+0.984153803924927i
-0.177316917351269-0.984153803924927i
-0.840420518290291+0.541934823045305i
-0.840420518290291-0.541934823045305i
-0.504620337737205+0.863341365151562i
-0.504620337737205-0.863341365151562i
-0.841577627572292+0.54013618353372i
-0.841577627572292-0.54013618353372i
-0.899619110657784+0.43667545619846i
-0.899619110657784-0.43667545619846i
-0.920149058613919+0.391568269805742i
-0.920149058613919-0.391568269805742i
-0.919789828017387+0.392411355927079i
-0.919789828017387-0.392411355927079i
-0.967434716499819+0.253120658271747i
-0.967434716499819-0.253120658271747i
-0.977218708873266+0.212234760346056i
-0.977218708873266-0.212234760346056i
-0.22973652353314+0.973252859050021i
-0.22973652353314-0.973252859050021i
-0.412185268563312+0.911100051621506i
-0.412185268563312-0.911100051621506i
-0.385480879863527+0.922715822579105i
-0.385480879863527-0.922715822579105i
-0.274502537878659+0.961586375056156i
-0.274502537878659-0.961586375056156i
-0.997619104386814+0.0689646363986514i
-0.997619104386814-0.0689646363986514i
-0.412123872798231+0.911127824817365i
-0.412123872798231-0.911127824817365i
-0.278081148333956+0.960557585435122i
-0.278081148333956-0.960557585435122i
-0.290020047000015+0.957020569405105i
-0.290020047000015-0.957020569405105i
-0.403650865422488+0.914913098995352i
-0.403650865422488-0.914913098995352i
-0.403839838226205+0.914829702694147i
-0.403839838226205-0.914829702694147i
-0.999791819089256+0.0204038789259422i
-0.999791819089256-0.0204038789259422i
-0.999794232580474+0.0202852727675212i
-0.999794232580474-0.0202852727675212i
