-0.867421616657732+0.497572732257211i
-0.867421616657732-0.497572732257211i
-0.860192912358266+0.509967957664302i
-0.860192912358266-0.509967957664302i
-0.887376752196613+0.461045003349591i
-0.887376752196613-0.461045003349591i
-0.909592226625774+0.415501899345049i
-0.909592226625774-0.415501899345049i
-0.96021934737756+0.279246843734704i
-0.96021934737756-0.279246843734704i
-0.940059460631606+0.341009281793215i
-0.940059460631606-0.341009281793215i
-0.937217799482223+0.34874307616294i
-0.937217799482223-0.34874307616294i
-0.931297338769018+0.364259733468579i
-0.931297338769018-0.364259733468579i
-0.934237542598941+0.356651374944941i
-0.934237542598941-0.356651374944941i
-0.960330656738954+0.278863810020856i
-0.960330656738954-0.278863810020856i
-0.999912747791659+0.0131728845561848i
-0.999912747791659-0.0131728845561848i
-0.997090496705621+0.0762268684167598i
-0.997090496705621-0.0762268684167598i
-0.982561899484693+0.185933038479553i
-0.982561899484693-0.185933038479553i
-0.999904359625063+0.0137949849514901i
-0.999904359625063-0.0137949849514901i
-0.997114534033016+0.075911791603417i
-0.997114534033016-0.075911791603417i
-0.994584363566139+0.103931797768092i
-0.994584363566139-0.103931797768092i
-0.982377641009527+0.186904130539524i
-0.982377641009527-0.186904130539524i
-0.986386825379597+0.164438755901809i
-0.986386825379597-0.164438755901809i
-0.990231599964349+0.139432319139636i
-0.990231599964349-0.139432319139636i
-0.986733201025201+0.162349783317818i
-0.986733201025201-0.162349783317818i
-0.994585670936838+0.103919286423652i
-0.994585670936838-0.103919286423652i
-0.990196609593312+0.139680591077606i
-0.990196609593312-0.139680591077606i
-0.827073623230422+0.562093597878627i
-0.827073623230422-0.562093597878627i
-0.777231313749069+0.629214050132194i
-0.777231313749069-0.629214050132194i
-0.787720744434886+0.616032486862828i
-0.787720744434886-0.616032486862828i
-0.887605077950088+0.460605276819286i
-0.887605077950088-0.460605276819286i
-0.940126262030487+0.34082507601671i
-0.940126262030487-0.34082507601671i
-0.986447152974011+0.164076475767532i
-0.986447152974011-0.164076475767532i
-0.747446162190629+0.664321791345023i
-0.747446162190629-0.664321791345023i
-0.770000497187807+0.638043153582465i
-0.770000497187807-0.638043153582465i
-0.800263771747874+0.599648058591618i
-0.800263771747874-0.599648058591618i
-0.936691257361964+0.3501548646937i
-0.936691257361964-0.3501548646937i
-0.866308298381791+0.499508579678907i
-0.866308298381791-0.499508579678907i
-0.860234966878059+0.509897016125857i
-0.860234966878059-0.509897016125857i
-0.826997683569544+0.562205320495119i
-0.826997683569544-0.562205320495119i
-0.986732232510844+0.162355669063091i
-0.986732232510844-0.162355669063091i
-0.909592196491494+0.41550196542721i
-0.909592196491494-0.41550196542721i
-0.931288386246281+0.364282622013556i
-0.931288386246281-0.364282622013556i
-0.934181493326497+0.356798157957301i
-0.934181493326497-0.356798157957301i
-0.775195113618028+0.631720964550062i
-0.775195113618028-0.631720964550062i
-0.788113020555665+0.615530553939067i
-0.788113020555665-0.615530553939067i
-0.800264247069876+0.59964742429617i
-0.800264247069876-0.59964742429617i
-0.670278669555199+0.742109307397719i
-0.670278669555199-0.742109307397719i
-0.671091395263698+0.741373992251723i
-0.671091395263698-0.741373992251723i
-0.670968591015283+0.741485769464048i
-0.670968591015283-0.741485769464048i
-0.769988048079019+0.638058177194528i
-0.769988048079019-0.638058177194528i
-0.747453060995286+0.664314029844524i
-0.747453060995286-0.664314029844524i
-0.552749976880607+0.833346386355451i
-0.552749976880607-0.833346386355451i
-0.546440221091349+0.837498108446394i
-0.546440221091349-0.837498108446394i
