1.00092333901711+0i
0.999077485834271+0i
-0.107724408625976+0.994180738448149i
-0.107724408625976-0.994180738448149i
-0.0940954221583392+0.995563127873967i
-0.0940954221583392-0.995563127873967i
-0.081282378291286+0.996691058501261i
-0.081282378291286-0.996691058501261i
-0.0693131280235155+0.99759489893964i
-0.0693131280235155-0.99759489893964i
-0.0582145970828405+0.998304038712583i
-0.0582145970828405-0.998304038712583i
-0.0480120288134665+0.998846704433194i
-0.0480120288134665-0.998846704433194i
-0.0387300434488788+0.999249657681244i
-0.0387300434488788-0.999249657681244i
-0.0303914610883064+0.999538020507228i
-0.0303914610883064-0.999538020507228i
-0.0230187941168659+0.999734980433586i
-0.0230187941168659-0.999734980433586i
-0.0166322221653266+0.999861623298809i
-0.0166322221653266-0.999861623298809i
-0.0112518937243956+0.999936643973525i
-0.0112518937243956-0.999936643973525i
-0.000147294353421978+0.999999938349453i
-0.000147294353421978-0.999999938349453i
-0.00131475533859692+0.99999908481557i
-0.00131475533859692-0.99999908481557i
-0.006894233701464+0.99997618325015i
-0.006894233701464-0.99997618325015i
-0.00357720584861698+0.99999355073439i
-0.00357720584861698-0.99999355073439i
-0.000688027053033308+0.999999712492207i
-0.000688027053033308-0.999999712492207i
-0.0025923134811118+0.999996589056531i
-0.0025923134811118-0.999996589056531i
-0.00559963377320699+0.999984270913772i
-0.00559963377320699-0.999984270913772i
-0.0278864815532965+0.999611044518831i
-0.0278864815532965-0.999611044518831i
-0.187026960186989+0.98235472119652i
-0.187026960186989-0.98235472119652i
-0.169789050162546+0.985480371217213i
-0.169789050162546-0.985480371217213i
-0.153205197788935+0.988194339398771i
-0.153205197788935-0.988194339398771i
-0.13731086440822+0.990527946566301i
-0.13731086440822-0.990527946566301i
-0.122139791483002+0.992512850817758i
-0.122139791483002-0.992512850817758i
-0.00966605195223269+0.99995323144978i
-0.00966605195223269-0.99995323144978i
-0.0147535011560596+0.999891109792316i
-0.0147535011560596-0.999891109792316i
-0.0208354960293723+0.999782865852806i
-0.0208354960293723-0.999782865852806i
-0.0358848647801674+0.999355878557939i
-0.0358848647801674-0.999355878557939i
-0.044808585999043+0.998995538239712i
-0.044808585999043-0.998995538239712i
-0.242288625473164+0.970204153288302i
-0.242288625473164-0.970204153288302i
-0.223315931431754+0.97474605595696i
-0.223315931431754-0.97474605595696i
-0.204882088487386+0.978786601011371i
-0.204882088487386-0.978786601011371i
-0.0546368088813522+0.998506240898813i
-0.0546368088813522-0.998506240898813i
-0.0653475040505894+0.997862513993355i
-0.0653475040505894-0.997862513993355i
-0.261758760105871+0.965133268922088i
-0.261758760105871-0.965133268922088i
-0.0769185159977801+0.997037328318085i
-0.0769185159977801-0.997037328318085i
