1.00040776172036+0i
0.999592372118956+0i
-0.00109770831649497+0.999999342366289i
-0.00109770831649497-0.999999342366289i
-0.0177386027102438+0.999842602633691i
-0.0177386027102438-0.999842602633691i
-0.038214855859795+0.999269488722643i
-0.038214855859795-0.999269488722643i
-0.0577507659424903+0.998330973986483i
-0.0577507659424903-0.998330973986483i
-0.0775069294323598+0.99699175460096i
-0.0775069294323598-0.99699175460096i
-0.0969645403906689+0.995287776989435i
-0.0969645403906689-0.995287776989435i
-0.116414779811144+0.993200623443494i
-0.116414779811144-0.993200623443494i
-0.135657145928217+0.990755780385569i
-0.135657145928217-0.990755780385569i
-0.0152508120386367+0.999883643935316i
-0.0152508120386367-0.999883643935316i
-0.035528419968012+0.999368609837261i
-0.035528419968012-0.999368609837261i
-0.0548534879389707+0.998494356593622i
-0.0548534879389707-0.998494356593622i
-0.0744565760221414+0.997224198394338i
-0.0744565760221414-0.997224198394338i
-0.173785993478584+0.984783378477181i
-0.173785993478584-0.984783378477181i
-0.154816867651878+0.987943122516085i
-0.154816867651878-0.987943122516085i
-0.192630521157228+0.981271295095227i
-0.192630521157228-0.981271295095227i
-0.211281964351147+0.977425087663438i
-0.211281964351147-0.977425087663438i
-0.229778936588278+0.973242780059146i
-0.229778936588278-0.973242780059146i
-0.248073524266941+0.9687411384719i
-0.248073524266941-0.9687411384719i
-0.266189746102624+0.963920579737914i
-0.266189746102624-0.963920579737914i
-0.284091892571321+0.958796985654947i
-0.284091892571321-0.958796985654947i
-0.0937529688763581+0.995595431233899i
-0.0937529688763581-0.995595431233899i
-0.113065770640776+0.993587445392239i
-0.113065770640776-0.993587445392239i
-0.132166037698031+0.991227530322616i
-0.132166037698031-0.991227530322616i
-0.151198061805529+0.988503425758024i
-0.151198061805529-0.988503425758024i
-0.301795504354431+0.953372610693704i
-0.301795504354431-0.953372610693704i
-0.319272817839064+0.947662770817831i
-0.319272817839064-0.947662770817831i
-0.336534182224369+0.941671174947358i
-0.336534182224369-0.941671174947358i
-0.370349524426431+0.928892396094534i
-0.370349524426431-0.928892396094534i
-0.35355739237684+0.935412756994413i
-0.35355739237684-0.935412756994413i
-0.170037319637185+0.985437560066459i
-0.170037319637185-0.985437560066459i
-0.188762867918617+0.982022633531267i
-0.188762867918617-0.982022633531267i
-0.207295144399962+0.97827838286691i
-0.207295144399962-0.97827838286691i
-0.225682428072366+0.974200857690686i
-0.225682428072366-0.974200857690686i
-0.243868793717776+0.969808166132136i
-0.243868793717776-0.969808166132136i
-0.38689249185004+0.922124748405629i
-0.38689249185004-0.922124748405629i
-0.403191288034485+0.915115640357186i
-0.403191288034485-0.915115640357186i
-0.419231024567964+0.90787950528108i
-0.419231024567964-0.90787950528108i
-0.435015385006564+0.900422934497657i
-0.435015385006564-0.900422934497657i
-0.450532060880271+0.892760161728474i
-0.450532060880271-0.892760161728474i
-0.465783944748962+0.884898389166955i
-0.465783944748962-0.884898389166955i
-0.261885758592397+0.965098811137847i
-0.261885758592397-0.965098811137847i
-0.279691505181587+0.960089853035064i
-0.279691505181587-0.960089853035064i
-0.297307564957753+0.954781689150828i
-0.297307564957753-0.954781689150828i
-0.480760874362494+0.876851653418137i
-0.480760874362494-0.876851653418137i
-0.495465307603234+0.868627634526891i
-0.495465307603234-0.868627634526891i
-0.314701331920874+0.949190672070302i
-0.314701331920874-0.949190672070302i
-0.50988891151919+0.860240160939749i
-0.50988891151919-0.860240160939749i
-0.524033957248419+0.851697273869155i
-0.524033957248419-0.851697273869155i
-0.331888028842921+0.943318713213235i
-0.331888028842921-0.943318713213235i
-0.348841488234168+0.937181664671605i
-0.348841488234168-0.937181664671605i
-0.53789370043366+0.843012573916958i
-0.53789370043366-0.843012573916958i
-0.551470398501814+0.834194360091729i
-0.551470398501814-0.834194360091729i
-0.564758705968552+0.825255980258353i
-0.564758705968552-0.825255980258353i
-0.577760986235311+0.816205899141804i
-0.577760986235311-0.816205899141804i
-0.365572793258464+0.93078267466341i
-0.365572793258464-0.93078267466341i
-0.382060526841565+0.924137222798875i
-0.382060526841565-0.924137222798875i
-0.398312995753294+0.917249479830155i
-0.398312995753294-0.917249479830155i
-0.414312446510825+0.910134630479551i
-0.414312446510825-0.910134630479551i
-0.430065309665883+0.902797694085439i
-0.430065309665883-0.902797694085439i
-0.445556763118116+0.895253604266745i
-0.445556763118116-0.895253604266745i
-0.460791979060545+0.887508081783812i
-0.460791979060545-0.887508081783812i
-0.590473137795463+0.807057184247578i
-0.590473137795463-0.807057184247578i
-0.475758553944869+0.879575829380198i
-0.475758553944869-0.879575829380198i
-0.490460838289262+0.871463140624748i
-0.490460838289262-0.871463140624748i
-0.602897710736811+0.797818383838668i
-0.602897710736811-0.797818383838668i
-0.615031716880224+0.788502256521034i
-0.615031716880224-0.788502256521034i
-0.504888474984115+0.863184490866367i
-0.504888474984115-0.863184490866367i
-0.51904530783537+0.854746631428665i
-0.51904530783537-0.854746631428665i
-0.638434405703459+0.769676118345503i
-0.638434405703459-0.769676118345503i
-0.626877944639213+0.779117360827988i
-0.626877944639213-0.779117360827988i
-0.532922746776357+0.846163801857915i
-0.532922746776357-0.846163801857915i
-0.546524358638292+0.837443106786431i
-0.546524358638292-0.837443106786431i
-0.55984310331177+0.828598533337398i
-0.55984310331177-0.828598533337398i
-0.649704156406631+0.760187032783473i
-0.649704156406631-0.760187032783473i
-0.660686107279364+0.750662161993158i
