0.757352760732189+0.653005770095851i
0.757352760732189-0.653005770095851i
0.779693436132683+0.6261613408975i
0.779693436132683-0.6261613408975i
0.826353583021879+0.563151412660821i
0.826353583021879-0.563151412660821i
0.859102046485859+0.511804201219424i
0.859102046485859-0.511804201219424i
0.886009868061443+0.463666135685724i
0.886009868061443-0.463666135685724i
0.920769993543312+0.390105724170196i
0.920769993543312-0.390105724170196i
0.93460004534286+0.355700069418209i
0.93460004534286-0.355700069418209i
0.920618955410289+0.390462027490704i
0.920618955410289-0.390462027490704i
0.964689025580427+0.263391214483012i
0.964689025580427-0.263391214483012i
0.934488823105653+0.355992171904926i
0.934488823105653-0.355992171904926i
0.970620029943086+0.240617025368734i
0.970620029943086-0.240617025368734i
0.964509123824857+0.264049231519797i
0.964509123824857-0.264049231519797i
0.970691990828279+0.240326563073863i
0.970691990828279-0.240326563073863i
0.99095283433028+0.134209977573719i
0.99095283433028-0.134209977573719i
0.992792008465456+0.119849216468429i
0.992792008465456-0.119849216468429i
0.990811711646441+0.135247877406264i
0.990811711646441-0.135247877406264i
0.992897243403339+0.118974255047685i
0.992897243403339-0.118974255047685i
0.999985223208549+0.00541995750984412i
0.999985223208549-0.00541995750984412i
1.00051595003207+0i
0.999484229701031+0i
0.99985845699291+0.0168233877847567i
0.99985845699291-0.0168233877847567i
0.999977496134925+0.00669553518165134i
0.999977496134925-0.00669553518165134i
0.685881696313621+0.735700665387432i
0.685881696313621-0.735700665387432i
0.677956772977602+0.727200191775419i
0.677956772977602-0.727200191775419i
0.825182500138673+0.564866005906701i
0.825182500138673-0.564866005906701i
0.859051428544982+0.511889156427014i
0.859051428544982-0.511889156427014i
0.88551846574991+0.46460394125233i
0.88551846574991-0.46460394125233i
0.574734223671967+0.818340074850943i
0.574734223671967-0.818340074850943i
0.59365920663953+0.804716376216262i
0.59365920663953-0.804716376216262i
0.779928172828704+0.625868932661086i
0.779928172828704-0.625868932661086i
0.754982207822462+0.655745084091973i
0.754982207822462-0.655745084091973i
0.677680399338698+0.73535634708165i
0.677680399338698-0.73535634708165i
0.682653048816705+0.730742605298928i
0.682653048816705-0.730742605298928i
0.447686262725178+0.894190648810356i
0.447686262725178-0.894190648810356i
0.506005130767972+0.86253029072259i
0.506005130767972-0.86253029072259i
0.588651505081338+0.808386738416117i
0.588651505081338-0.808386738416117i
0.574296005750285+0.818647666041951i
0.574296005750285-0.818647666041951i
0.414608316923981+0.909999790076807i
0.414608316923981-0.909999790076807i
0.497909671830251+0.867228729820914i
0.497909671830251-0.867228729820914i
0.447877310917253+0.894094970016974i
0.447877310917253-0.894094970016974i
0.402515841743602+0.915412854890614i
0.402515841743602-0.915412854890614i
0.315986184120946+0.951936988677589i
0.315986184120946-0.951936988677589i
0.314091922648028+0.946229727311114i
0.314091922648028-0.946229727311114i
0.224047413279943+0.974578063680439i
0.224047413279943-0.974578063680439i
0.307636656559417+0.953669089451645i
0.307636656559417-0.953669089451645i
0.306372620855773+0.949751184563442i
0.306372620855773-0.949751184563442i
0.203447524173345+0.979085683070491i
0.203447524173345-0.979085683070491i
0.163088278915079+0.986611439192605i
0.163088278915079-0.986611439192605i
0.128956250022183+0.991650097721144i
0.128956250022183-0.991650097721144i
0.163061049302687+0.986615938617772i
0.163061049302687-0.986615938617772i
0.0566765728301382+0.998392588462017i
0.0566765728301382-0.998392588462017i
0.103324847001645+0.994647491979278i
0.103324847001645-0.994647491979278i
0.0328462222744512+0.999460225056974i
0.0328462222744512-0.999460225056974i
0.00951452167146496+0.999954699628802i
0.00951452167146496-0.999954699628802i
-0.0611846219616155+0.998126271347319i
-0.0611846219616155-0.998126271347319i
0.00623516815303199+1.00113976453432i
0.00623516815303199-1.00113976453432i
0.00622042035843758+0.998822574531463i
0.00622042035843758-0.998822574531463i
-0.0944558351852589+0.995528866706369i
-0.0944558351852589-0.995528866706369i
-0.132716627661441+0.991154017576949i
-0.132716627661441-0.991154017576949i
-0.148609299935667+0.988895966512389i
-0.148609299935667-0.988895966512389i
-0.153627172561826+0.988128668067665i
-0.153627172561826-0.988128668067665i
-0.148256368131417+0.988948925772869i
-0.148256368131417-0.988948925772869i
-0.173651467637002+0.984807167015082i
-0.173651467637002-0.984807167015082i
-0.189596109077411+0.981861971145416i
-0.189596109077411-0.981861971145416i
-0.244722935548933+0.969592840638639i
-0.244722935548933-0.969592840638639i
-0.270100728354067+0.962831545105872i
-0.270100728354067-0.962831545105872i
-0.949039649191744+0.315155787719108i
-0.949039649191744-0.315155787719108i
-0.961604521201634+0.27443766601291i
-0.961604521201634-0.27443766601291i
-0.96955269568682+0.244881565376629i
-0.96955269568682-0.244881565376629i
-0.984578779269648+0.174940054753311i
-0.984578779269648-0.174940054753311i
-0.9943901722771+0.105771286784135i
-0.9943901722771-0.105771286784135i
-0.995623228943521+0.0934543704172041i
-0.995623228943521-0.0934543704172041i
-0.987740998285701+0.156099448905572i
-0.987740998285701-0.156099448905572i
-0.98853196668639+0.151011663539536i
-0.98853196668639-0.151011663539536i
-0.999586442984898+0.0287452918901837i
-0.999586442984898-0.0287452918901837i
-0.999285608850312+0.0377839114119805i
-0.999285608850312-0.0377839114119805i
-0.999237284337497+0.0390490641784892i
-0.999237284337497-0.0390490641784892i
-0.999990183946362+0.00435760684414347i
