-0.780978075048655+0.624558428987651i
-0.780978075048655-0.624558428987651i
-0.801940972086309+0.597402705866777i
-0.801940972086309-0.597402705866777i
-0.819908053826428+0.572495193946029i
-0.819908053826428-0.572495193946029i
-0.841010888872978+0.541017798208925i
-0.841010888872978-0.541017798208925i
-0.852455011319058+0.522800571121421i
-0.852455011319058-0.522800571121421i
-0.86944057543298+0.494036873585625i
-0.86944057543298-0.494036873585625i
-0.899539152458415+0.436840108772674i
-0.899539152458415-0.436840108772674i
-0.924797249435594+0.380459491496207i
-0.924797249435594-0.380459491496207i
-0.966135953287397+0.258032414352211i
-0.966135953287397-0.258032414352211i
-0.910392067351928+0.413746095031642i
-0.910392067351928-0.413746095031642i
-0.959964680861436+0.280120208257758i
-0.959964680861436-0.280120208257758i
-0.959605264862936+0.281349810960787i
-0.959605264862936-0.281349810960787i
-0.956078815559711+0.29310965603466i
-0.956078815559711-0.29310965603466i
-0.913005843132161+0.407946457743263i
-0.913005843132161-0.407946457743263i
-0.919576410673423+0.392910438145083i
-0.919576410673423-0.392910438145083i
-0.912182457942233+0.409783741964881i
-0.912182457942233-0.409783741964881i
-0.913196933312539+0.4075185180539i
-0.913196933312539-0.4075185180539i
-0.956016471877137+0.293312931453248i
-0.956016471877137-0.293312931453248i
-0.75242499991746+0.658677627763002i
-0.75242499991746-0.658677627763002i
-0.842911167180985+0.538052358851598i
-0.842911167180985-0.538052358851598i
-0.861447263948327+0.507846403460103i
-0.861447263948327-0.507846403460103i
-0.999981893172852+0.00597251124378501i
-0.999981893172852-0.00597251124378501i
-0.899478753568256+0.436964459605937i
-0.899478753568256-0.436964459605937i
-0.963150875901634+0.268960603656108i
-0.963150875901634-0.268960603656108i
-0.961450419905856+0.274977482808283i
-0.961450419905856-0.274977482808283i
-0.724218359812339+0.689570193538692i
-0.724218359812339-0.689570193538692i
-0.819858044290863+0.572566809148518i
-0.819858044290863-0.572566809148518i
-0.852746292416533+0.522325323769476i
-0.852746292416533-0.522325323769476i
-0.991708710093336+0.128503968664609i
-0.991708710093336-0.128503968664609i
-0.999998826272281+0.00152693623827253i
